Date,VMC,EMR,CSX,UNP
1980-07-11,0.006802855160092047,0.017544199053511234,,0.016997328999697858
1980-07-14,0.0,0.020689458491470303,,0.0584962434934122
1980-07-15,0.0,0.0067575288355636864,,-0.01052593413182823
1980-07-16,-0.006756889022737522,0.0,,0.013297144518056081
1980-07-17,-0.013605407111975887,0.010066789312051183,,0.04199466633411042
1980-07-18,-0.010345453761609114,0.026578382196581485,,0.010075813127536026
1980-07-21,0.0,-0.00647298055767731,,0.014962279096791375
1980-07-22,0.020906891411232698,0.009772172155310344,,-0.012284869049372982
1980-07-23,0.006825614334953878,-0.006451488659297122,,-0.03482529455681582
1980-07-24,0.010169200612791585,0.0032469372307772915,,-0.012887292851851306
1980-07-25,-0.006711019913791305,-0.016181713045429036,,-0.01305459886448146
1980-07-28,0.0,0.0,,0.0052912133365279335
